epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,871.773,0.73466,0.56115,0.92426,0.81031,0.82494,0.87158,0.69899,0.6095,0.45929,0.88533,0.007921,0.007921,0.007921
65,899.66,0.73656,0.56179,0.91896,0.83611,0.81474,0.87424,0.70197,0.60961,0.46077,0.8851,0.007888,0.007888,0.007888
66,927.139,0.73546,0.56024,0.91813,0.82804,0.82351,0.87335,0.70233,0.60806,0.45659,0.88423,0.007855,0.007855,0.007855
67,955.298,0.73456,0.55946,0.91925,0.82407,0.80401,0.86752,0.69596,0.60881,0.4721,0.88466,0.007822,0.007822,0.007822
68,982.909,0.7284,0.55683,0.91784,0.83164,0.81997,0.87562,0.70351,0.61135,0.45964,0.88492,0.007789,0.007789,0.007789
69,1010.75,0.7316,0.55412,0.9176,0.82174,0.83044,0.8761,0.70546,0.60834,0.45365,0.88428,0.007756,0.007756,0.007756
70,1038.55,0.72811,0.55518,0.91663,0.82645,0.82303,0.87935,0.70867,0.60362,0.45249,0.88291,0.007723,0.007723,0.007723
71,1066.68,0.7318,0.55488,0.91792,0.83516,0.8191,0.87958,0.70768,0.60565,0.45122,0.88322,0.00769,0.00769,0.00769
72,1094.56,0.72695,0.54914,0.91537,0.82681,0.82434,0.87843,0.7092,0.60228,0.44967,0.88187,0.007657,0.007657,0.007657
73,1122.38,0.72855,0.5469,0.91632,0.82892,0.82324,0.8788,0.71075,0.60198,0.44945,0.88174,0.007624,0.007624,0.007624
74,1150.37,0.72696,0.55059,0.91821,0.8333,0.8263,0.87926,0.70784,0.60381,0.45318,0.88196,0.007591,0.007591,0.007591
75,1178.24,0.7258,0.55059,0.91521,0.82768,0.82676,0.8815,0.71227,0.60284,0.44672,0.88155,0.007558,0.007558,0.007558
76,1205.86,0.7248,0.54783,0.91746,0.83471,0.82894,0.88121,0.71277,0.59972,0.44454,0.88111,0.007525,0.007525,0.007525
77,1233.5,0.72228,0.54681,0.91297,0.83513,0.83188,0.8834,0.71666,0.59796,0.44317,0.88029,0.007492,0.007492,0.007492
78,1261.06,0.72092,0.54452,0.91212,0.83185,0.82939,0.88205,0.7143,0.59856,0.44431,0.88013,0.007459,0.007459,0.007459
79,1288.9,0.71878,0.54103,0.91113,0.82328,0.83302,0.88124,0.71505,0.59626,0.44243,0.87957,0.007426,0.007426,0.007426
80,1317.14,0.71759,0.54037,0.91155,0.83065,0.83156,0.88407,0.71531,0.59826,0.44241,0.88011,0.007393,0.007393,0.007393
81,1344.79,0.71878,0.53975,0.91447,0.83208,0.82635,0.88502,0.71878,0.59574,0.43812,0.87926,0.00736,0.00736,0.00736
82,1372.52,0.7157,0.53652,0.90816,0.83115,0.83087,0.88555,0.71841,0.59493,0.4395,0.87865,0.007327,0.007327,0.007327
83,1400.74,0.71563,0.53788,0.91201,0.83523,0.83202,0.8852,0.71979,0.59248,0.44021,0.87807,0.007294,0.007294,0.007294
84,1429.29,0.71359,0.53742,0.91197,0.847,0.82358,0.88509,0.7189,0.59418,0.43643,0.87854,0.007261,0.007261,0.007261
85,1457.97,0.71179,0.5353,0.91149,0.84124,0.82669,0.88622,0.71986,0.59268,0.43609,0.87771,0.007228,0.007228,0.007228
86,1485.82,0.71485,0.53455,0.9115,0.85174,0.82426,0.88842,0.72155,0.59174,0.43786,0.87742,0.007195,0.007195,0.007195
87,1513.51,0.71239,0.53546,0.90937,0.84242,0.82607,0.88751,0.72215,0.59135,0.43507,0.87779,0.007162,0.007162,0.007162
88,1541.43,0.7093,0.53156,0.90923,0.84227,0.82929,0.88789,0.721,0.5903,0.43319,0.87722,0.007129,0.007129,0.007129
89,1569.49,0.70961,0.53127,0.9088,0.84793,0.82552,0.88601,0.72116,0.59059,0.43638,0.87726,0.007096,0.007096,0.007096
90,1597.01,0.70648,0.52529,0.90842,0.84904,0.82501,0.88961,0.72288,0.58813,0.4312,0.87665,0.007063,0.007063,0.007063
91,1624.69,0.71006,0.53176,0.9074,0.84891,0.82698,0.89063,0.72381,0.58916,0.43012,0.87649,0.00703,0.00703,0.00703
92,1652.38,0.70561,0.52974,0.90841,0.83687,0.83665,0.8916,0.72665,0.58866,0.43008,0.87597,0.006997,0.006997,0.006997
93,1680.99,0.70479,0.52481,0.90834,0.84074,0.83934,0.89168,0.72587,0.5866,0.42835,0.87567,0.006964,0.006964,0.006964
94,1708.8,0.70533,0.52916,0.9056,0.84245,0.83516,0.88831,0.72321,0.58656,0.4289,0.87566,0.006931,0.006931,0.006931
95,1736.43,0.70256,0.52502,0.90589,0.84942,0.82986,0.8912,0.72413,0.58643,0.42877,0.87488,0.006898,0.006898,0.006898
96,1764.24,0.70437,0.52391,0.9067,0.848,0.82987,0.89185,0.72617,0.58926,0.42768,0.87598,0.006865,0.006865,0.006865
97,1792.43,0.70137,0.52017,0.9062,0.8487,0.82854,0.89072,0.72483,0.58869,0.42651,0.87588,0.006832,0.006832,0.006832
98,1820.3,0.70349,0.52053,0.90698,0.844,0.83127,0.88987,0.72553,0.58459,0.4268,0.87447,0.006799,0.006799,0.006799
99,1848.05,0.7013,0.52189,0.90566,0.83996,0.83794,0.89127,0.72659,0.58351,0.42487,0.87415,0.006766,0.006766,0.006766
100,1875.61,0.70072,0.51851,0.90567,0.83925,0.84265,0.89262,0.72737,0.58353,0.42491,0.87431,0.006733,0.006733,0.006733
