epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,1030.61,0.77286,0.63901,0.96208,0.71056,0.72797,0.7643,0.57564,0.6902,0.58197,0.92256,0.007624,0.007624,0.007624
74,1043.96,0.77495,0.6418,0.96275,0.70804,0.73925,0.76916,0.57609,0.68571,0.57212,0.92048,0.007591,0.007591,0.007591
75,1057.5,0.77028,0.63899,0.96036,0.71018,0.72135,0.76061,0.57313,0.68763,0.59529,0.92134,0.007558,0.007558,0.007558
76,1070.87,0.77014,0.63129,0.96267,0.7237,0.73662,0.77555,0.58672,0.68639,0.5691,0.91887,0.007525,0.007525,0.007525
77,1084.4,0.77464,0.63261,0.9621,0.71566,0.74875,0.77852,0.58559,0.68132,0.57728,0.91852,0.007492,0.007492,0.007492
78,1097.86,0.77046,0.63574,0.96057,0.7168,0.75082,0.77594,0.58343,0.6801,0.56438,0.91769,0.007459,0.007459,0.007459
79,1111.34,0.7676,0.62911,0.95887,0.73046,0.75945,0.79645,0.59545,0.68369,0.56652,0.91899,0.007426,0.007426,0.007426
80,1124.76,0.76744,0.62931,0.95826,0.73565,0.74961,0.7874,0.59725,0.67724,0.58782,0.91589,0.007393,0.007393,0.007393
81,1138.29,0.76426,0.62709,0.95876,0.72743,0.7557,0.79248,0.60189,0.6803,0.56125,0.91599,0.00736,0.00736,0.00736
82,1151.63,0.76543,0.62032,0.95976,0.76785,0.72704,0.78943,0.59827,0.67864,0.56657,0.91702,0.007327,0.007327,0.007327
83,1165.15,0.76464,0.6206,0.95776,0.73543,0.75043,0.78906,0.60399,0.66841,0.55472,0.91241,0.007294,0.007294,0.007294
84,1178.55,0.75702,0.61589,0.95523,0.72118,0.77012,0.79088,0.60494,0.66855,0.55229,0.91278,0.007261,0.007261,0.007261
85,1192.1,0.76033,0.61086,0.95567,0.71694,0.75275,0.78342,0.59274,0.67195,0.56573,0.9139,0.007228,0.007228,0.007228
86,1205.56,0.76228,0.62021,0.95406,0.73598,0.74964,0.79053,0.60316,0.67277,0.5722,0.91337,0.007195,0.007195,0.007195
87,1219.15,0.75524,0.61476,0.95744,0.73724,0.75563,0.79584,0.61042,0.66607,0.56209,0.91015,0.007162,0.007162,0.007162
88,1232.54,0.7561,0.61954,0.95363,0.74466,0.75335,0.79608,0.61205,0.66154,0.56302,0.90896,0.007129,0.007129,0.007129
89,1246.11,0.75727,0.6118,0.9549,0.71942,0.77896,0.80503,0.61482,0.66366,0.55487,0.9101,0.007096,0.007096,0.007096
90,1259.49,0.7497,0.60661,0.95338,0.74932,0.76153,0.80317,0.61231,0.66476,0.54927,0.90963,0.007063,0.007063,0.007063
91,1273.01,0.74713,0.60589,0.94914,0.75066,0.75749,0.80001,0.61669,0.663,0.54036,0.90848,0.00703,0.00703,0.00703
92,1286.42,0.74932,0.60005,0.95007,0.76026,0.76726,0.81288,0.62712,0.66096,0.54368,0.9081,0.006997,0.006997,0.006997
93,1300,0.74941,0.6056,0.95078,0.76449,0.74894,0.80496,0.62317,0.66253,0.54166,0.90863,0.006964,0.006964,0.006964
94,1313.45,0.74989,0.60183,0.95202,0.7486,0.77325,0.81229,0.62912,0.66034,0.52736,0.90721,0.006931,0.006931,0.006931
95,1327.03,0.75026,0.60356,0.95231,0.75983,0.77029,0.8155,0.63255,0.65601,0.53511,0.90627,0.006898,0.006898,0.006898
96,1340.38,0.75272,0.60016,0.95493,0.75052,0.7798,0.81216,0.62603,0.65501,0.52553,0.90571,0.006865,0.006865,0.006865
97,1353.9,0.74696,0.59288,0.94933,0.77345,0.78223,0.82323,0.63794,0.65632,0.51792,0.90624,0.006832,0.006832,0.006832
98,1367.3,0.7499,0.59143,0.95244,0.77557,0.76717,0.81967,0.63277,0.65519,0.5244,0.90611,0.006799,0.006799,0.006799
99,1380.91,0.75097,0.60037,0.95161,0.77346,0.7689,0.82036,0.63581,0.6526,0.52018,0.90474,0.006766,0.006766,0.006766
100,1394.33,0.75137,0.59342,0.9518,0.7797,0.76271,0.82072,0.63789,0.65389,0.52695,0.90532,0.006733,0.006733,0.006733
101,1407.9,0.74656,0.59264,0.95036,0.77378,0.78039,0.82756,0.64117,0.65441,0.51665,0.90507,0.0067,0.0067,0.0067
102,1421.32,0.74311,0.58663,0.9472,0.76647,0.77624,0.82212,0.63699,0.65329,0.51607,0.90416,0.006667,0.006667,0.006667
103,1434.78,0.74344,0.58756,0.94618,0.78391,0.77465,0.8251,0.64022,0.65241,0.52233,0.90363,0.006634,0.006634,0.006634
104,1448.17,0.74885,0.60359,0.95002,0.76713,0.77963,0.82177,0.63732,0.64965,0.51902,0.90291,0.006601,0.006601,0.006601
105,1461.72,0.74335,0.58762,0.94455,0.76764,0.77839,0.82556,0.64023,0.64734,0.52391,0.90216,0.006568,0.006568,0.006568
106,1475.12,0.74359,0.59514,0.94732,0.78682,0.76867,0.83047,0.64309,0.64903,0.51443,0.90332,0.006535,0.006535,0.006535
107,1488.63,0.73734,0.57982,0.94397,0.77088,0.79062,0.83435,0.64693,0.64557,0.50866,0.90128,0.006502,0.006502,0.006502
108,1502.02,0.73899,0.58144,0.94624,0.78668,0.78164,0.83623,0.65242,0.64228,0.50663,0.90055,0.006469,0.006469,0.006469
109,1515.56,0.73879,0.5814,0.94521,0.77487,0.78077,0.83439,0.65243,0.64235,0.50954,0.90069,0.006436,0.006436,0.006436
110,1528.97,0.7394,0.58395,0.94394,0.77338,0.79264,0.83562,0.65106,0.64648,0.50716,0.90149,0.006403,0.006403,0.006403
111,1542.46,0.742,0.58164,0.94715,0.77452,0.79131,0.83429,0.64993,0.6466,0.50759,0.90077,0.00637,0.00637,0.00637
112,1555.85,0.73775,0.58396,0.94536,0.7923,0.78935,0.84055,0.656,0.64295,0.50496,0.8999,0.006337,0.006337,0.006337
113,1569.4,0.73415,0.5776,0.94383,0.77471,0.79132,0.83719,0.65082,0.64436,0.51011,0.90055,0.006304,0.006304,0.006304
114,1582.77,0.72674,0.58003,0.94044,0.78313,0.78424,0.8432,0.65942,0.64233,0.50628,0.89958,0.006271,0.006271,0.006271
115,1596.27,0.72847,0.57648,0.94127,0.79417,0.7879,0.84201,0.65911,0.6379,0.50001,0.89786,0.006238,0.006238,0.006238
116,1609.64,0.7294,0.57356,0.94208,0.79041,0.79508,0.84464,0.66157,0.6359,0.49613,0.89652,0.006205,0.006205,0.006205
117,1623.21,0.72461,0.56571,0.94017,0.78295,0.79704,0.8438,0.66078,0.63574,0.49624,0.89684,0.006172,0.006172,0.006172
118,1636.57,0.72294,0.57139,0.93897,0.79339,0.78602,0.84221,0.65907,0.63794,0.50199,0.89747,0.006139,0.006139,0.006139
119,1650.06,0.72286,0.5721,0.93921,0.79147,0.78912,0.84313,0.66039,0.63542,0.49783,0.89669,0.006106,0.006106,0.006106
120,1663.37,0.72161,0.57187,0.9373,0.79535,0.79099,0.84481,0.66323,0.63269,0.49764,0.89559,0.006073,0.006073,0.006073
121,1676.81,0.72515,0.56896,0.93821,0.80005,0.78033,0.84173,0.66058,0.63425,0.49833,0.89592,0.00604,0.00604,0.00604
122,1690.15,0.72698,0.56657,0.93809,0.79739,0.7793,0.84037,0.66124,0.63141,0.49605,0.89472,0.006007,0.006007,0.006007
123,1703.61,0.72559,0.57154,0.93861,0.79054,0.79241,0.84359,0.66514,0.63226,0.49607,0.89487,0.005974,0.005974,0.005974
124,1717.01,0.72299,0.56357,0.93857,0.79182,0.79872,0.84821,0.67056,0.62949,0.49528,0.89402,0.005941,0.005941,0.005941
125,1730.53,0.71752,0.55997,0.93524,0.78674,0.80032,0.84663,0.66953,0.6274,0.49837,0.89301,0.005908,0.005908,0.005908
126,1743.82,0.71549,0.5595,0.93461,0.78296,0.80415,0.84882,0.67138,0.62723,0.49376,0.89291,0.005875,0.005875,0.005875
127,1757.25,0.71018,0.54857,0.93539,0.77994,0.80878,0.85142,0.67419,0.62562,0.49073,0.89243,0.005842,0.005842,0.005842
128,1770.59,0.70901,0.54976,0.93036,0.79184,0.79917,0.85191,0.67514,0.62583,0.48932,0.89232,0.005809,0.005809,0.005809
129,1783.96,0.70878,0.54715,0.93175,0.79412,0.80586,0.85403,0.676,0.62393,0.48918,0.89152,0.005776,0.005776,0.005776
130,1797.25,0.71006,0.54647,0.934,0.79143,0.8101,0.85509,0.67813,0.62371,0.48604,0.89144,0.005743,0.005743,0.005743
131,1810.73,0.71122,0.5502,0.9314,0.79967,0.807,0.85655,0.67967,0.62301,0.48438,0.89102,0.00571,0.00571,0.00571
132,1823.96,0.70852,0.54486,0.93209,0.79032,0.81477,0.85806,0.68006,0.62135,0.48316,0.89044,0.005677,0.005677,0.005677
133,1837.34,0.70652,0.54213,0.93148,0.79233,0.81063,0.85833,0.68166,0.62122,0.48643,0.89029,0.005644,0.005644,0.005644
